data,cidade,latitude,longitude,precipitacao_mm,fonte
2026-07-20,Bagé,-31.3314,-54.1069,9.0,Open-Meteo NWP
2026-07-20,Caxias do Sul,-29.1681,-51.1794,13.0,Open-Meteo NWP
2026-07-20,Lajeado,-29.4669,-51.9614,14.8,Open-Meteo NWP
2026-07-20,Passo Fundo,-28.2625,-52.4083,22.2,Open-Meteo NWP
2026-07-20,Pelotas,-31.7654,-52.3376,23.6,Open-Meteo NWP
2026-07-20,Porto Alegre,-30.0346,-51.2177,28.4,Open-Meteo NWP
2026-07-20,Rio Grande,-32.035,-52.0986,23.8,Open-Meteo NWP
2026-07-20,Santa Cruz do Sul,-29.7186,-52.4311,23.6,Open-Meteo NWP
2026-07-20,Santa Maria,-29.6842,-53.8069,44.0,Open-Meteo NWP
2026-07-20,Uruguaiana,-29.7547,-57.0883,10.3,Open-Meteo NWP
2026-07-21,Bagé,-31.3314,-54.1069,0.6,Open-Meteo NWP
2026-07-21,Caxias do Sul,-29.1681,-51.1794,80.3,Open-Meteo NWP
2026-07-21,Lajeado,-29.4669,-51.9614,81.0,Open-Meteo NWP
2026-07-21,Passo Fundo,-28.2625,-52.4083,75.0,Open-Meteo NWP
2026-07-21,Pelotas,-31.7654,-52.3376,0.5,Open-Meteo NWP
2026-07-21,Porto Alegre,-30.0346,-51.2177,62.2,Open-Meteo NWP
